# z/w V/V0
0.5 -1.0000000000
0.50402 -0.9943461497
0.50804 -0.9886846797
0.51206 -0.9830308295
0.51608 -0.9773769792
0.520101 -0.9717307487
0.524121 -0.9660768985
0.528141 -0.9604382877
0.532161 -0.9547920572
0.536181 -0.9491610662
0.540201 -0.9435300751
0.544221 -0.9378990841
0.548241 -0.9322833326
0.552261 -0.9266675810
0.556281 -0.9210670690
0.560302 -0.9154665569
0.564322 -0.9098812844
0.568342 -0.9043036316
0.572362 -0.8987335985
0.576382 -0.8931711852
0.580402 -0.8876240113
0.584422 -0.8820920770
0.588442 -0.8765677624
0.592462 -0.8710510675
0.596482 -0.8655572319
0.600503 -0.8600710160
0.604523 -0.8546000396
0.608543 -0.8491366830
0.612563 -0.8436961856
0.616583 -0.8382709276
0.620603 -0.8328609092
0.624623 -0.8274661302
0.628643 -0.8220942105
0.632663 -0.8167299105
0.636683 -0.8113884698
0.640704 -0.8060698883
0.644724 -0.8007665463
0.648744 -0.7954784437
0.652764 -0.7902132004
0.656784 -0.7849631966
0.660804 -0.7797360521
0.664824 -0.7745317667
0.668844 -0.7693503406
0.672864 -0.7641841540
0.676884 -0.7590446365
0.680905 -0.7539249303
0.684925 -0.7488280833
0.688945 -0.7437533336
0.692965 -0.7387022052
0.696985 -0.7336739359
0.701005 -0.7286685259
0.705025 -0.7236874990
0.709045 -0.7187308554
0.713065 -0.7137978329
0.717085 -0.7088899557
0.721106 -0.7040064615
0.725126 -0.6991481126
0.729146 -0.6943149088
0.733166 -0.6895076121
0.737186 -0.6847254606
0.741206 -0.6799684543
0.745226 -0.6752381170
0.749246 -0.6705336869
0.753266 -0.6658559259
0.757286 -0.6612040720
0.761307 -0.6565788872
0.765327 -0.6519811335
0.769347 -0.6474092869
0.773367 -0.6428648715
0.777387 -0.6383471251
0.781407 -0.6338568098
0.785427 -0.6293931636
0.789447 -0.6249577104
0.793467 -0.6205489264
0.797487 -0.6161675734
0.801508 -0.6118136515
0.805528 -0.6074879227
0.809548 -0.6031896250
0.813568 -0.5989179963
0.817588 -0.5946753227
0.821608 -0.5904593182
0.825628 -0.5862715067
0.829648 -0.5821111264
0.833668 -0.5779781771
0.837688 -0.5738734208
0.841709 -0.5697960956
0.845729 -0.5657462016
0.849749 -0.5617245005
0.853769 -0.5577302306
0.857789 -0.5537633917
0.861809 -0.5498239839
0.865829 -0.5459120072
0.869849 -0.5420274616
0.873869 -0.5381703470
0.877889 -0.5343406635
0.88191 -0.5305376492
0.88593 -0.5267628278
0.88995 -0.5230146756
0.89397 -0.5192931925
0.89799 -0.5155991405
0.90201 -0.5119317576
0.90603 -0.5082910438
0.91005 -0.5046769990
0.91407 -0.5010903854
0.91809 -0.4975296789
0.922111 -0.4939948795
0.926131 -0.4904867493
0.930151 -0.4870052881
0.934171 -0.4835489721
0.938191 -0.4801193252
0.942211 -0.4767155854
0.946231 -0.4733369908
0.950251 -0.4699843033
0.954271 -0.4666575230
0.958291 -0.4633551258
0.962312 -0.4600786358
0.966332 -0.4568272909
0.970352 -0.4536003292
0.974372 -0.4503992746
0.978392 -0.4472218412
0.982412 -0.4440695530
0.986432 -0.4409416480
0.990452 -0.4378381262
0.994472 -0.4347582255
0.998492 -0.4317027081
1.00251 -0.4286708118
1.00653 -0.4256632987
1.01055 -0.4226786449
1.01457 -0.4197176123
1.01859 -0.4167794389
1.02261 -0.4138648867
1.02663 -0.4109731937
1.03065 -0.4081043600
1.03467 -0.4052583855
1.03869 -0.4024345083
1.04271 -0.3996334903
1.04673 -0.3968545696
1.05075 -0.3940977461
1.05477 -0.3913622579
1.05879 -0.3886496289
1.06281 -0.3859575733
1.06683 -0.3832876149
1.07085 -0.3806382298
1.07487 -0.3780109420
1.07889 -0.3754042274
1.08291 -0.3728180862
1.08693 -0.3702525183
1.09095 -0.3677082857
1.09497 -0.3651838644
1.09899 -0.3626800165
1.10302 -0.3601959798
1.10704 -0.3577317545
1.11106 -0.3552873406
1.11508 -0.3528627379
1.1191 -0.3504571847
1.12312 -0.3480714427
1.12714 -0.3457047501
1.13116 -0.3433571069
1.13518 -0.3410277511
1.1392 -0.3387174446
1.14322 -0.3364261875
1.14724 -0.3341532178
1.15126 -0.3318977735
1.15528 -0.3296613786
1.1593 -0.3274425090
1.16332 -0.3252411649
1.16734 -0.3230581082
1.17136 -0.3208925768
1.17538 -0.3187438090
1.1794 -0.3166125665
1.18342 -0.3144988494
1.18744 -0.3124018958
1.19146 -0.3103217056
1.19548 -0.3082582789
1.1995 -0.3062108536
1.20352 -0.3041801917
1.20754 -0.3021662933
1.21156 -0.3001676344
1.21558 -0.2981857389
1.2196 -0.2962190829
1.22362 -0.2942691903
1.22764 -0.2923337753
1.23166 -0.2904143617
1.23568 -0.2885101876
1.2397 -0.2866212530
1.24372 -0.2847467959
1.24774 -0.2828883403
1.25176 -0.2810436002
1.25578 -0.2792140996
1.2598 -0.2773990765
1.26382 -0.2755985309
1.26784 -0.2738124629
1.27186 -0.2720401103
1.27588 -0.2702822353
1.2799 -0.2685380759
1.28392 -0.2668083939
1.28794 -0.2650916655
1.29196 -0.2633886527
1.29598 -0.2616985934
1.3 -0.2600230116
