# z/w V/V0
0.6 -1.0000000000
0.60402 -0.9944679278
0.60804 -0.9889358555
0.61206 -0.9834110337
0.61608 -0.9778789614
0.620101 -0.9723541396
0.624121 -0.9668293178
0.628141 -0.9613117464
0.632161 -0.9557941750
0.636181 -0.9502838540
0.640201 -0.9447735331
0.644221 -0.9392704625
0.648241 -0.9337746424
0.652261 -0.9282860727
0.656281 -0.9228047534
0.660302 -0.9173306845
0.664322 -0.9118711165
0.668342 -0.9064115485
0.672362 -0.9009664813
0.676382 -0.8955286645
0.680402 -0.8900980982
0.684422 -0.8846820327
0.688442 -0.8792804681
0.692462 -0.8738861539
0.696482 -0.8685063405
0.700503 -0.8631410280
0.704523 -0.8577902163
0.708543 -0.8524466550
0.712563 -0.8471248450
0.716583 -0.8418175359
0.720603 -0.8365174771
0.724623 -0.8312391697
0.728643 -0.8259826135
0.732663 -0.8207333077
0.736683 -0.8155057532
0.740704 -0.8102926995
0.744724 -0.8051013972
0.748744 -0.7999245956
0.752764 -0.7947695453
0.756784 -0.7896362463
0.760804 -0.7845174481
0.764824 -0.7794204012
0.768844 -0.7743451056
0.772864 -0.7692843108
0.776884 -0.7642525177
0.780905 -0.7592352255
0.784925 -0.7542396845
0.788945 -0.7492731452
0.792965 -0.7443211067
0.796985 -0.7393908195
0.801005 -0.7344895340
0.805025 -0.7296099998
0.809045 -0.7247485916
0.813065 -0.7199140100
0.817085 -0.7151026297
0.821106 -0.7103151759
0.825126 -0.7055516484
0.829146 -0.7008120473
0.833166 -0.6960978227
0.837186 -0.6914075245
0.841206 -0.6867418777
0.845226 -0.6821016074
0.849246 -0.6774867136
0.853266 -0.6728971963
0.857286 -0.6683323304
0.861307 -0.6637935660
0.865327 -0.6592809031
0.869347 -0.6547936167
0.873367 -0.6503317068
0.877387 -0.6458966235
0.881407 -0.6414876417
0.885427 -0.6371047614
0.889447 -0.6327479826
0.893467 -0.6284180304
0.897487 -0.6241141797
0.901508 -0.6198371555
0.905528 -0.6155862329
0.909548 -0.6113621368
0.913568 -0.6071641423
0.917588 -0.6029936994
0.921608 -0.5988493580
0.925628 -0.5947318431
0.929648 -0.5906404298
0.933668 -0.5865765681
0.937688 -0.5825388079
0.941709 -0.5785278742
0.945729 -0.5745437672
0.949749 -0.5705864867
0.953769 -0.5666560327
0.957789 -0.5627516803
0.961809 -0.5588734294
0.965829 -0.5550227301
0.969849 -0.5511981323
0.973869 -0.5473996360
0.977889 -0.5436279663
0.98191 -0.5398823981
0.98593 -0.5361629315
0.98995 -0.5324695664
0.99397 -0.5288030278
0.99799 -0.5251618657
1.00201 -0.5215468051
1.00603 -0.5179578460
1.01005 -0.5143942635
1.01407 -0.5108567824
1.01809 -0.5073446778
1.02211 -0.5038579497
1.02613 -0.5003965981
1.03015 -0.4969613480
1.03417 -0.4935507493
1.03819 -0.4901648021
1.04221 -0.4868042313
1.04623 -0.4834690371
1.05025 -0.4801577692
1.05427 -0.4768718778
1.05829 -0.4736099128
1.06231 -0.4703733242
1.06633 -0.4671599371
1.07035 -0.4639712013
1.07437 -0.4608063920
1.07839 -0.4576655090
1.08241 -0.4545485525
1.08643 -0.4514555223
1.09045 -0.4483856935
1.09447 -0.4453390660
1.09849 -0.4423156399
1.10251 -0.4393154151
1.10653 -0.4363383917
1.11055 -0.4333845697
1.11457 -0.4304524989
1.11859 -0.4275436294
1.12261 -0.4246572363
1.12663 -0.4217925944
1.13065 -0.4189504289
1.13467 -0.4161307396
1.13869 -0.4133320766
1.14271 -0.4105551648
1.14673 -0.4078000044
1.15075 -0.4050665951
1.15477 -0.4023542121
1.15879 -0.3996628554
1.16281 -0.3969925248
1.16683 -0.3943432205
1.17085 -0.3917142174
1.17487 -0.3891062404
1.17889 -0.3865185647
1.18291 -0.3839511902
1.18693 -0.3814033917
1.19095 -0.3788758945
1.19497 -0.3763679734
1.19899 -0.3738803535
1.20302 -0.3714115847
1.20704 -0.3689623921
1.21106 -0.3665327755
1.21508 -0.3641220101
1.2191 -0.3617300958
1.22312 -0.3593570325
1.22714 -0.3570020954
1.23116 -0.3546667343
1.23518 -0.3523487743
1.2392 -0.3500496654
1.24322 -0.3477686825
1.24724 -0.3455051007
1.25126 -0.3432596449
1.25528 -0.3410315901
1.2593 -0.3388209363
1.26332 -0.3366284086
1.26734 -0.3344525569
1.27136 -0.3322941061
1.27538 -0.3301523314
1.2794 -0.3280272326
1.28342 -0.3259188098
1.28744 -0.3238277880
1.29146 -0.3217519921
1.29548 -0.3196935972
1.2995 -0.3176504281
1.30352 -0.3156239351
1.30754 -0.3136126679
1.31156 -0.3116180768
1.31558 -0.3096387115
1.3196 -0.3076745720
1.32362 -0.3057256585
1.32764 -0.3037919709
1.33166 -0.3018742342
1.33568 -0.2999709983
1.3397 -0.2980822633
1.34372 -0.2962087542
1.34774 -0.2943497459
1.35176 -0.2925045134
1.35578 -0.2906745068
1.3598 -0.2888582760
1.36382 -0.2870565460
1.36784 -0.2852685919
1.37186 -0.2834944135
1.37588 -0.2817347360
1.3799 -0.2799881093
1.38392 -0.2782545333
1.38794 -0.2765354582
1.39196 -0.2748287088
1.39598 -0.2731357352
1.4 -0.2714550873
