# z/w V/V0
0.4 -1.0000000000
0.40402 -0.9944442818
0.40804 -0.9888958834
0.41206 -0.9833474849
0.41608 -0.9777990865
0.420101 -0.9722580078
0.424121 -0.9667169292
0.428141 -0.9611758506
0.432161 -0.9556420917
0.436181 -0.9501083328
0.440201 -0.9445818938
0.444221 -0.9390627745
0.448241 -0.9335509750
0.452261 -0.9280464953
0.456281 -0.9225420156
0.460302 -0.9170521754
0.464322 -0.9115696551
0.468342 -0.9060944545
0.472362 -0.9006338935
0.476382 -0.8951733326
0.480402 -0.8897347309
0.484422 -0.8842961293
0.488442 -0.8788794870
0.492462 -0.8734701645
0.496482 -0.8680681619
0.500503 -0.8626881185
0.504523 -0.8573153950
0.508543 -0.8519646308
0.512563 -0.8466211864
0.516583 -0.8412923816
0.520603 -0.8359855361
0.524623 -0.8306860104
0.528643 -0.8254084441
0.532663 -0.8201528371
0.536683 -0.8149045500
0.540704 -0.8096782222
0.544724 -0.8044738537
0.548744 -0.7992841248
0.552764 -0.7941090355
0.556784 -0.7889559056
0.560804 -0.7838247350
0.564824 -0.7787155238
0.568844 -0.7736209522
0.572864 -0.7685556597
0.576884 -0.7635050067
0.580905 -0.7584763132
0.584925 -0.7534695790
0.588945 -0.7484848041
0.592965 -0.7435219886
0.596985 -0.7385811325
0.601005 -0.7336622358
0.605025 -0.7287674943
0.609045 -0.7238961761
0.613065 -0.7190490133
0.617085 -0.7142252738
0.621106 -0.7094256895
0.625126 -0.7046509926
0.629146 -0.6998997189
0.633166 -0.6951733326
0.637186 -0.6904725654
0.641206 -0.6857959536
0.645226 -0.6811449611
0.649246 -0.6765188558
0.653266 -0.6719191017
0.657286 -0.6673442349
0.661307 -0.6627949874
0.665327 -0.6582720911
0.669347 -0.6537755461
0.673367 -0.6493046202
0.677387 -0.6448600457
0.681407 -0.6404418223
0.685427 -0.6360499502
0.689447 -0.6316851613
0.693467 -0.6273459917
0.697487 -0.6230339053
0.701508 -0.6187489020
0.705528 -0.6144902500
0.709548 -0.6102579493
0.713568 -0.6060527317
0.717588 -0.6018745974
0.721608 -0.5977235463
0.725628 -0.5935988464
0.729648 -0.5895012297
0.733668 -0.5854306963
0.737688 -0.5813865140
0.741709 -0.5773694150
0.745729 -0.5733793992
0.749749 -0.5694164666
0.753769 -0.5654798852
0.757789 -0.5615703871
0.761809 -0.5576872401
0.765829 -0.5538311764
0.769849 -0.5500014640
0.773869 -0.5461981027
0.777889 -0.5424218247
0.78191 -0.5386718979
0.78593 -0.5349483223
0.78995 -0.5312510980
0.79397 -0.5275809568
0.79799 -0.5239357030
0.80201 -0.5203175324
0.80603 -0.5167249810
0.81005 -0.5131587808
0.81407 -0.5096181999
0.81809 -0.5061032383
0.822111 -0.5026138959
0.826131 -0.4991509047
0.830151 -0.4957128008
0.834171 -0.4922995842
0.838191 -0.4889127189
0.842211 -0.4855500088
0.846231 -0.4822129180
0.850251 -0.4789007144
0.854271 -0.4756133981
0.858291 -0.4723502372
0.862312 -0.4691119635
0.866332 -0.4658985770
0.870352 -0.4627086139
0.874372 -0.4595435381
0.878392 -0.4564026176
0.882412 -0.4532851203
0.886432 -0.4501917784
0.890452 -0.4471218598
0.894472 -0.4440753645
0.898492 -0.4410522926
0.902513 -0.4380526439
0.906533 -0.4350764186
0.910553 -0.4321228846
0.914573 -0.4291920419
0.918593 -0.4262838906
0.922613 -0.4233984306
0.926633 -0.4205349300
0.930653 -0.4176941207
0.934673 -0.4148760028
0.938693 -0.4120791123
0.942714 -0.4093041811
0.946734 -0.4065504773
0.950754 -0.4038187328
0.954774 -0.4011089477
0.958794 -0.3984196580
0.962814 -0.3957515957
0.966834 -0.3931047608
0.970854 -0.3904784213
0.974874 -0.3878725772
0.978894 -0.3852879604
0.982915 -0.3827231071
0.986935 -0.3801780172
0.990955 -0.3776541547
0.994975 -0.3751493237
0.998995 -0.3726642560
1.00302 -0.3701989518
1.00704 -0.3677534110
1.01106 -0.3653269017
1.01508 -0.3629201558
1.0191 -0.3605317093
1.02312 -0.3581622943
1.02714 -0.3558119108
1.03116 -0.3534798267
1.03518 -0.3511660420
1.0392 -0.3488712889
1.04322 -0.3465941032
1.04724 -0.3443352170
1.05126 -0.3420938982
1.05528 -0.3398701470
1.0593 -0.3376646952
1.06332 -0.3354760789
1.06734 -0.3333050302
1.07136 -0.3311508169
1.07538 -0.3290141711
1.0794 -0.3268943608
1.08342 -0.3247906541
1.08744 -0.3227045148
1.09146 -0.3206337471
1.09548 -0.3185805469
1.0995 -0.3165427183
1.10352 -0.3145209931
1.10754 -0.3125153716
1.11156 -0.3105258535
1.11558 -0.3085517070
1.1196 -0.3065936640
1.12362 -0.3046502606
1.12764 -0.3027222287
1.13166 -0.3008095684
1.13568 -0.2989122797
1.1397 -0.2970296305
1.14372 -0.2951616209
1.14774 -0.2933082509
1.15176 -0.2914695204
1.15578 -0.2896454295
1.1598 -0.2878352462
1.16382 -0.2860389705
1.16784 -0.2842573344
1.17186 -0.2824896059
1.17588 -0.2807357850
1.1799 -0.2789951397
1.18392 -0.2772684019
1.18794 -0.2755548398
1.19196 -0.2738544534
1.19598 -0.2721679745
1.2 -0.2704939392
