-88.5 -200 1 2

-100 -188.208 1 2
-100 -184.623 1 2
-100 -181.038 1 2
-100 -177.453 1 2
-100 -173.868 1 2
-100 -170.283 1 2
-100 -166.698 1 2
-100 -163.113 1 2
-100 -159.528 1 2
-100 -155.943 1 2
-100 -152.358 1 2
-100 -148.774 1 2
-100 -145.189 1 2
-100 -141.604 1 2
-100 -138.019 1 2
-100 -134.434 1 2
-100 -130.849 1 2
-100 -127.264 1 2
-100 -123.679 1 2
-100 -120.094 1 2
-100 -116.509 1 2
-100 -112.925 1 2
-100 -109.34 1 2
-100 -105.755 1 2
-100 -102.17 1 2
-100 -98.5849 1 2
-100 -95 1 2
-100 -91.4151 1 2
-100 -87.8302 1 2
-100 -84.2453 1 2
-100 -80.6604 1 2
-100 -77.0755 1 2
-100 -73.4906 1 2
-100 -69.9057 1 2
-100 -66.3208 1 2
-100 -62.7358 1 2
-100 -59.1509 1 2
-100 -55.566 1 2
-100 -51.9811 1 2
-100 -48.3962 1 2
-100 -44.8113 1 2
-100 -41.2264 1 2
-100 -37.6415 1 2
-100 -34.0566 1 2
-100 -30.4717 1 2
-100 -26.8868 1 2
-100 -23.3019 1 2
-100 -19.717 1 2
-100 -16.1321 1 2
-100 -12.5472 1 2
-100 -8.96226 1 2
-100 -5.37736 1 2
-100 -1.79245 1 2
-100 1.79245 1 2
-100 5.37736 1 2
-100 8.96226 1 2
-100 12.5472 1 2
-100 16.1321 1 2
-100 19.717 1 2
-100 23.3019 1 2
-100 26.8868 1 2
-100 30.4717 1 2
-100 34.0566 1 2
-100 37.6415 1 2
-100 41.2264 1 2
-100 44.8113 1 2
-100 48.3962 1 2
-100 51.9811 1 2
-100 55.566 1 2
-100 59.1509 1 2
-100 62.7358 1 2
-100 66.3208 1 2
-100 69.9057 1 2
-100 73.4906 1 2
-100 77.0755 1 2
-100 80.6604 1 2
-100 84.2453 1 2
-100 87.8302 1 2
-100 91.4151 1 2
-100 95 1 2
-100 98.5849 1 2
-100 102.17 1 2
-100 105.755 1 2
-100 109.34 1 2
-100 112.925 1 2
-100 116.509 1 2
-100 120.094 1 2
-100 123.679 1 2
-100 127.264 1 2
-100 130.849 1 2
-100 134.434 1 2
-100 138.019 1 2
-100 141.604 1 2
-100 145.189 1 2
-100 148.774 1 2
-100 152.358 1 2
-100 155.943 1 2
-100 159.528 1 2
-100 163.113 1 2
-100 166.698 1 2
-100 170.283 1 2
-100 173.868 1 2
-100 177.453 1 2
-100 181.038 1 2
-100 184.623 1 2
-100 188.208 1 2

-99.9786 -190.654 2 1
-99.8079 -191.951 2 1
-99.4693 -193.214 2 1
-98.9687 -194.423 2 1
-98.3147 -195.556 2 1
-97.5184 -196.593 2 1
-96.5935 -197.518 2 1
-95.5557 -198.315 2 1
-94.4229 -198.969 2 1
-93.2144 -199.469 2 1
-91.9509 -199.808 2 1
-90.654 -199.979 2 1

-90.654 199.979 2 1
-91.9509 199.808 2 1
-93.2144 199.469 2 1
-94.4229 198.969 2 1
-95.5557 198.315 2 1
-96.5935 197.518 2 1
-97.5184 196.593 2 1
-98.3147 195.556 2 1
-98.9687 194.423 2 1
-99.4693 193.214 2 1
-99.8079 191.951 2 1
-99.9786 190.654 2 1
