% Model:              Potential_W500_Wp250_Gap100_V1=0-5um,10um_Correct.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 12 2025, 16:00
% Dimension:          1
% Nodes:              109
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Dependent variable u
0                         -1
1.9916590935823875E-8     -1.0000000000000175
3.269987884856212E-8      -1.0000000000000226
3.9876046221639797E-8     -1.0000000000000258
5.071216779202686E-8      -1.0000000000000253
5.988732167822902E-8      -1.000000000000025
6.608880613784444E-8      -1.0000000000000226
7.991925145951819E-8      -1.000000000000017
9.999999999999998E-8      -1
1.2473190782022106E-7     -0.9090326090261225
1.4687714370180146E-7     -0.8292190667066557
1.4931305368789726E-7     -0.8203725242563877
1.5251737747541625E-7     -0.8092225745433719
1.7375523722777528E-7     -0.7344964044757423
1.8609614693556541E-7     -0.6931956805029231
2.018412534253954E-7      -0.6401385218268423
2.1949758455615172E-7     -0.5856891768549612
2.434862827890215E-7      -0.5130458295789424
2.750057593522325E-7      -0.4282655847804612
2.7589816508153866E-7     -0.4258088909395406
2.769917176098905E-7      -0.423217696998481
3.0893609034429726E-7     -0.3442024433566724
3.3745964571331116E-7     -0.2840343273571399
3.377954649014178E-7      -0.28330657967814615
3.393515412298134E-7      -0.28034682797426375
3.67491569708144E-7       -0.22601895046161655
3.7161739434645623E-7     -0.2186532846696512
4.025352517752698E-7      -0.1660481657780722
4.2361585912510485E-7     -0.13618323594791165
4.354083421212191E-7      -0.11848397467113882
4.44060735432235E-7       -0.107818084891775
4.7555957118478255E-7     -0.06749091050866168
5.067819080087911E-7      -0.035200384242256064
5.190696626468882E-7      -0.022524322959039042
5.50613195021097E-7       0.004653766496373175
5.608013517552724E-7      0.013854897519814566
5.646724309042702E-7      0.016727655372823877
6.016773023728544E-7      0.0445843185961404
6.224479336762984E-7      0.05755432281247673
6.42354420044066E-7       0.07006582335625337
6.800349436609144E-7      0.08988093623031257
6.826599827179401E-7      0.09125982184404981
6.88884420252806E-7       0.09402167837640679
7.228304374001859E-7      0.1098364098210792
7.368381522678832E-7      0.11528663666246991
7.625314123538071E-7      0.12542555323855945
7.932940978812271E-7      0.1356405905652295
8.020886309417262E-7      0.13858373953377812
8.227889350166308E-7      0.14445357974385217
8.416762178581714E-7      0.15006777693086548
8.496644730528809E-7      0.15206461314270142
8.814687621379008E-7      0.16013499070280346
9.060795691940185E-7      0.165424383436739
9.211366698261912E-7      0.16868021608027503
9.572283965485064E-7      0.1753375499569706
9.608576555795662E-7      0.17603792232237345
9.623827915067297E-7      0.17628708659301467
1.0006251671888326E-6     0.18261305621424484
1.019313457220746E-6      0.18523937109155844
1.0405753365760692E-6     0.1882463453103132
1.077410755316582E-6      0.19268393008529938
1.080821682626932E-6      0.19309503030993075
1.0887232606255139E-6     0.1939084136182413
1.1214725196666646E-6     0.1974360020208215
1.1366202118325146E-6     0.1988167522829724
1.163109672228416E-6      0.2012414093636995
1.1933342871397196E-6     0.20359144776113292
1.204710234560965E-6      0.20447579982580869
1.2358506114193236E-6     0.20654094763961275
1.2425061480888824E-6     0.20700117875123417
1.2451019514211341E-6     0.20715155742991895
1.2800502334889998E-6     0.20923375282956333
1.3036822081463935E-6     0.21041626286315132
1.31766456380869E-6       0.2111208657333259
1.3476106236589301E-6     0.21238920287165025
1.355803957998733E-6      0.21275570707426011
1.3596227726230964E-6     0.21289791072142183
1.3946339298781054E-6     0.21420792821704887
1.416948363222778E-6      0.21489559645948014
1.4343257991618486E-6     0.21542913509961759
1.4723419280768455E-6     0.21637551918454734
1.47573926492826E-6       0.21646599396409819
1.4769746332441604E-6     0.216492769981886
1.5200130041666101E-6     0.2173733921817621
1.5271476341673375E-6     0.21750288505146714
1.5403743646646133E-6     0.2176934243992681
1.5684125978736272E-6     0.21813262309119716
1.589910742603487E-6      0.2183722499599931
1.5995323233005696E-6     0.21848660387419025
1.6308320742855488E-6     0.2187688789925721
1.6398139592423913E-6     0.21883340694393977
1.6699319028332017E-6     0.2190229847219769
1.6925039189854294E-6     0.2191026673411294
1.7102753698662192E-6     0.21916049241701913
1.7487406073057288E-6     0.2191836014440824
1.750451898145147E-6      0.21918429423084954
1.7546794314721537E-6     0.219175867916601
1.7915640213566409E-6     0.21912886798060166
1.8064021682340045E-6     0.21907537137403507
1.8321102128130426E-6     0.21898020675329538
1.8610602258389015E-6     0.2188155905072243
1.871886463351292E-6      0.21875175120529722
1.9067830110376993E-6     0.21848869571879664
1.91181273167384E-6       0.21845290988600474
1.9135877288066622E-6     0.21843731517796086
1.946863540525678E-6      0.21814834579167458
1.968506875126409E-6      0.21792546003667418
1.984668793981054E-6      0.21776014222933762
2.0E-6                    0.21758117957247258
