% Model:              Potential_W500_Wp250_Gap100_V1=0-5um,10um_Correct.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 12 2025, 16:03
% Dimension:          1
% Nodes:              335
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Dependent variable u
3.9179988941726857E-7     -0.1621710291818273
3.961193064336634E-7      -0.1556524106969727
3.9824609851928714E-7     -0.15262871771563052
4.1070137837280547E-7     -0.1354275136914173
4.1254267641435166E-7     -0.13293560036235882
4.256862991120766E-7      -0.11593449261956568
4.270768821821622E-7      -0.11419255337199857
4.3660873106747014E-7     -0.10249033251089698
4.4432003198270317E-7     -0.09341880496093798
4.4699612323471504E-7     -0.09031260505511245
4.5035238845983993E-7     -0.08661096715678343
4.560986557196743E-7      -0.08007846665855506
4.6392111554130525E-7     -0.0717196990020463
4.684090482724091E-7      -0.06694775603123318
4.719456464544783E-7      -0.06342776338884328
4.810445429112268E-7      -0.05409950523243967
4.922661532853797E-7      -0.043416750527784986
4.93811081816419E-7       -0.04194868437757815
4.951236031107402E-7      -0.040783366775244384
5.06268801837044E-7       -0.030610655125128654
5.180705602432278E-7      -0.020528341219517562
5.187370935704679E-7      -0.019961994320284955
5.194974032677662E-7      -0.01935512358525368
5.313955866779434E-7      -0.00962673084459712
5.397605071796887E-7      -0.003178368357014686
5.448629358952992E-7      6.987747227870701E-4
5.571696406363064E-7      0.009599427193340093
5.582104766256108E-7      0.010364299124943913
5.586615423504418E-7      0.010683704565355586
5.702876475695111E-7      0.018661011316646672
5.738534742469173E-7      0.021084557926429413
5.839672340951854E-7      0.02754365466874718
5.850127026770275E-7      0.028217408894702308
5.855322350923484E-7      0.028529328467357912
5.978118931812537E-7      0.03609636960727774
6.046918217598855E-7      0.040032782711873535
6.106110836854797E-7      0.04351330592633088
6.161827283409336E-7      0.0465885000351154
6.224342701163388E-7      0.05002008089838804
6.342171404008742E-7      0.05617143220842989
6.342574565471976E-7      0.056192357894343264
6.34334199100539E-7       0.056230129130317656
6.449596633869511E-7      0.06157069017291047
6.517066063548853E-7      0.06480530509064211
6.578075786921034E-7      0.06769163464346917
6.653876559096299E-7      0.07107496166094793
6.703548460357512E-7      0.07335700536844356
6.7435278546084E-7        0.07508681285866914
6.829021133793992E-7      0.07874429835151207
6.928315597994877E-7      0.08277737466549423
6.931467346759955E-7      0.08290403916169942
6.937125296867605E-7      0.0831213720275502
7.033913559725922E-7      0.08694945276431094
7.087829250414905E-7      0.08898608503106833
7.153831739844161E-7      0.09141875872767477
7.219435705291511E-7      0.09383366848780691
7.293390540564216E-7      0.09638003167843782
7.324454797644994E-7      0.09747812269848757
7.4189066687678E-7        0.10059219367057456
7.429473889998477E-7      0.10094662940792107
7.435027819009332E-7      0.10111970588400081
7.560906655392926E-7      0.10515890175960568
7.658049121367247E-7      0.10805227412263504
7.691987234533236E-7      0.10908782764098109
7.751200488075246E-7      0.1107653386635083
7.82207009006692E-7       0.11280192921676113
7.851864014578848E-7      0.11360022499222017
7.924544156805556E-7      0.11559859003233719
8.001966996133601E-7      0.11759572567984697
8.027018223544192E-7      0.1182594980445146
8.0809161794281E-7        0.11959597533653574
8.136266525628409E-7      0.12098165536930358
8.208279048549578E-7      0.1226856577960194
8.249944301454048E-7      0.12369017780448557
8.262290717568558E-7      0.12397807024392579
8.358889934332445E-7      0.12618582677260667
8.40351956064273E-7       0.12717050828897236
8.467835567210844E-7      0.12855975443680887
8.597365985908329E-7      0.1312257054832828
8.605347016678143E-7      0.13139528621063662
