# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.53675919	1.50025659e+00
0.53693423	1.49517034e+00
0.53710928	1.49011588e+00
0.53728432	1.48509285e+00
0.53745936	1.48010090e+00
0.53763441	1.47513969e+00
0.53780945	1.47020886e+00
0.53798450	1.46530808e+00
0.53815954	1.46043702e+00
0.53833458	1.45559536e+00
0.53850963	1.45079878e+00
0.53868467	1.44603616e+00
0.53885971	1.44130188e+00
0.53903476	1.43659565e+00
0.53920980	1.43191716e+00
0.53938485	1.42726612e+00
0.53955989	1.42264223e+00
0.53973493	1.41804520e+00
0.53990998	1.41347476e+00
0.54008502	1.40893062e+00
0.54026007	1.40441250e+00
0.54043511	1.39992519e+00
0.54061015	1.39547554e+00
0.54078520	1.39105644e+00
0.54096024	1.38666835e+00
0.54113528	1.38230473e+00
0.54131033	1.37796533e+00
0.54148537	1.37364991e+00
0.54166042	1.36935822e+00
0.54183546	1.36509003e+00
0.54201050	1.36084511e+00
0.54218555	1.35662321e+00
0.54236059	1.35242412e+00
0.54253563	1.34826424e+00
0.54271068	1.34412972e+00
0.54288572	1.34001727e+00
0.54306077	1.33592666e+00
0.54323581	1.33185769e+00
0.54341085	1.32781014e+00
0.54358590	1.32378380e+00
0.54376094	1.31977848e+00
0.54393598	1.31579398e+00
0.54411103	1.31183009e+00
0.54428607	1.30788662e+00
0.54446112	1.30396971e+00
0.54463616	1.30008298e+00
0.54481120	1.29621953e+00
0.54498625	1.29237913e+00
0.54516129	1.28855805e+00
0.54533633	1.28475612e+00
0.54551138	1.28097316e+00
0.54568642	1.27720900e+00
0.54586147	1.27346347e+00
0.54603651	1.26973640e+00
0.54621155	1.26602762e+00
0.54638660	1.26233697e+00
0.54656164	1.25868140e+00
0.54673668	1.25504477e+00
0.54691173	1.25142571e+00
0.54708677	1.24782408e+00
0.54726182	1.24423971e+00
0.54743686	1.24067246e+00
0.54761190	1.23712217e+00
0.54778695	1.23358870e+00
0.54796199	1.23007190e+00
0.54813703	1.22657162e+00
0.54831208	1.22308773e+00
0.54848712	1.21962714e+00
0.54866217	1.21619041e+00
0.54883721	1.21277281e+00
0.54901225	1.20937374e+00
0.54918730	1.20599024e+00
0.54936234	1.20262217e+00
0.54953738	1.19926941e+00
0.54971243	1.19593182e+00
0.54988747	1.19260929e+00
0.55006252	1.18930168e+00
0.55023756	1.18600887e+00
0.55041260	1.18273120e+00
0.55058765	1.17948518e+00
0.55076269	1.17625354e+00
0.55093773	1.17303616e+00
0.55111278	1.16983292e+00
0.55128782	1.16664372e+00
0.55146287	1.16346843e+00
0.55163791	1.16030694e+00
0.55181295	1.15715915e+00
0.55198800	1.15402494e+00
0.55216304	1.15090420e+00
0.55233808	1.14779683e+00
0.55251313	1.14471071e+00
0.55268817	1.14164381e+00
0.55286322	1.13859437e+00
0.55303826	1.13556116e+00
0.55321330	1.13254066e+00
0.55338835	1.12953277e+00
0.55356339	1.12653741e+00
0.55373843	1.12355446e+00
0.55391348	1.12058383e+00
0.55408852	1.11762543e+00
0.55426357	1.11467917e+00
0.55443861	1.11174683e+00
0.55461365	1.10884049e+00
0.55478870	1.10594597e+00
0.55496374	1.10306317e+00
0.55513878	1.10019200e+00
0.55531383	1.09733238e+00
0.55548887	1.09448422e+00
0.55566392	1.09164744e+00
0.55583896	1.08882194e+00
0.55601400	1.08600765e+00
0.55618905	1.08320448e+00
0.55636409	1.08041236e+00
0.55653913	1.07764000e+00
0.55671418	1.07488307e+00
0.55688922	1.07214104e+00
0.55706427	1.06941237e+00
0.55723931	1.06669423e+00
0.55741435	1.06398654e+00
0.55758940	1.06128924e+00
0.55776444	1.05860223e+00
0.55793948	1.05592546e+00
0.55811453	1.05325885e+00
0.55828957	1.05060232e+00
0.55846462	1.04795880e+00
0.55863966	1.04533651e+00
0.55881470	1.04272404e+00
0.55898975	1.04012134e+00
0.55916479	1.03752834e+00
0.55933983	1.03494496e+00
0.55951488	1.03237115e+00
0.55968992	1.02980683e+00
0.55986497	1.02725195e+00
0.56004001	1.02470642e+00
0.56021505	1.02217020e+00
0.56039010	1.01964322e+00
0.56056514	1.01713639e+00
0.56074019	1.01464210e+00
0.56091523	1.01216068e+00
0.56109027	1.00969037e+00
0.56126532	1.00722889e+00
0.56144036	1.00477617e+00
0.56161540	1.00233216e+00
0.56179045	9.99896799e-01
