# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.50000000	9.55467455e-01
0.50017504	1.04565245e+00
0.50035009	1.16801535e+00
0.50052513	1.34764270e+00
0.50070018	1.64966368e+00
0.50087522	2.33432207e+00
0.50105026	2.87517862e+01
0.50122531	2.31417443e+00
0.50140035	1.63728025e+00
0.50157539	1.33612981e+00
0.50175044	1.15619801e+00
0.50192548	1.03319541e+00
0.50210053	9.42264865e-01
0.50227557	8.71498742e-01
0.50245061	8.14395324e-01
0.50262566	7.67039872e-01
0.50280070	7.26931851e-01
0.50297574	6.92386361e-01
0.50315079	6.62220672e-01
0.50332583	6.35576813e-01
0.50350088	6.11815219e-01
0.50367592	5.90448065e-01
0.50385096	5.71095899e-01
0.50402601	5.53458523e-01
0.50420105	5.37294900e-01
0.50437609	5.22412155e-01
0.50455114	5.08649268e-01
0.50472618	4.95868224e-01
0.50490123	4.83956463e-01
0.50507627	4.72818724e-01
0.50525131	4.62373770e-01
0.50542636	4.52551837e-01
0.50560140	4.43292633e-01
0.50577644	4.34543743e-01
0.50595149	4.26259353e-01
0.50612653	4.18399220e-01
0.50630158	4.10927884e-01
0.50647662	4.03820012e-01
0.50665166	3.97041185e-01
0.50682671	3.90566390e-01
0.50700175	3.84373202e-01
0.50717679	3.78441452e-01
0.50735184	3.72752940e-01
0.50752688	3.67291197e-01
0.50770193	3.62041278e-01
0.50787697	3.56989585e-01
0.50805201	3.52123713e-01
0.50822706	3.47432322e-01
0.50840210	3.42907538e-01
0.50857714	3.38539284e-01
0.50875219	3.34316693e-01
0.50892723	3.30231672e-01
0.50910228	3.26276749e-01
0.50927732	3.22445006e-01
0.50945236	3.18730036e-01
0.50962741	3.15125885e-01
0.50980245	3.11627022e-01
0.50997749	3.08228292e-01
0.51015254	3.04924890e-01
0.51032758	3.01712799e-01
0.51050263	2.98591503e-01
0.51067767	2.95552839e-01
0.51085271	2.92593127e-01
0.51102776	2.89708915e-01
0.51120280	2.86896957e-01
0.51137784	2.84154202e-01
0.51155289	2.81477775e-01
0.51172793	2.78864970e-01
0.51190298	2.76313228e-01
0.51207802	2.73820138e-01
0.51225306	2.71383418e-01
0.51242811	2.69003176e-01
0.51260315	2.66676330e-01
0.51277819	2.64399660e-01
0.51295324	2.62171333e-01
0.51312828	2.59989603e-01
0.51330333	2.57852817e-01
0.51347837	2.55759400e-01
0.51365341	2.53707854e-01
0.51382846	2.51696754e-01
0.51400350	2.49724741e-01
0.51417854	2.47790520e-01
0.51435359	2.45893525e-01
0.51452863	2.44034703e-01
0.51470368	2.42210087e-01
0.51487872	2.40418601e-01
0.51505376	2.38659219e-01
0.51522881	2.36930955e-01
0.51540385	2.35232867e-01
0.51557889	2.33564054e-01
0.51575394	2.31923650e-01
0.51592898	2.30310826e-01
0.51610403	2.28724787e-01
0.51627907	2.27164769e-01
0.51645411	2.25632626e-01
0.51662916	2.24125925e-01
0.51680420	2.22643092e-01
0.51697924	2.21183477e-01
0.51715429	2.19746453e-01
0.51732933	2.18331419e-01
0.51750438	2.16937795e-01
0.51767942	2.15565022e-01
0.51785446	2.14212563e-01
0.51802951	2.12879899e-01
0.51820455	2.11566530e-01
0.51837959	2.10272741e-01
0.51855464	2.08999224e-01
0.51872968	2.07743578e-01
0.51890473	2.06505367e-01
0.51907977	2.05284174e-01
0.51925481	2.04079593e-01
0.51942986	2.02891232e-01
0.51960490	2.01718714e-01
0.51977994	2.00561672e-01
0.51995499	1.99419751e-01
0.52013003	1.98292609e-01
0.52030508	1.97179913e-01
0.52048012	1.96083859e-01
0.52065516	1.95002091e-01
0.52083021	1.93933808e-01
0.52100525	1.92878716e-01
0.52118030	1.91836532e-01
0.52135534	1.90806982e-01
0.52153038	1.89789799e-01
0.52170543	1.88784723e-01
0.52188047	1.87791503e-01
0.52205551	1.86809896e-01
0.52223056	1.85839664e-01
0.52240560	1.84881467e-01
0.52258065	1.83935662e-01
0.52275569	1.83000543e-01
0.52293073	1.82075897e-01
0.52310578	1.81161520e-01
0.52328082	1.80257213e-01
0.52345586	1.79362780e-01
0.52363091	1.78478034e-01
0.52380595	1.77602791e-01
0.52398100	1.76736871e-01
0.52415604	1.75880101e-01
0.52433108	1.75032310e-01
0.52450613	1.74195773e-01
0.52468117	1.73368066e-01
0.52485621	1.72548835e-01
0.52503126	1.71737930e-01
0.52520630	1.70935202e-01
0.52538135	1.70140504e-01
0.52555639	1.69353697e-01
0.52573143	1.68574642e-01
0.52590648	1.67803204e-01
0.52608152	1.67039253e-01
0.52625656	1.66282660e-01
0.52643161	1.65534302e-01
0.52660665	1.64794192e-01
0.52678170	1.64061060e-01
0.52695674	1.63334789e-01
0.52713178	1.62615266e-01
0.52730683	1.61902382e-01
0.52748187	1.61196026e-01
0.52765691	1.60496095e-01
0.52783196	1.59802484e-01
0.52800700	1.59115092e-01
0.52818205	1.58433821e-01
0.52835709	1.57758615e-01
0.52853213	1.57091629e-01
0.52870718	1.56430465e-01
0.52888222	1.55775034e-01
0.52905726	1.55125247e-01
0.52923231	1.54481019e-01
0.52940735	1.53842265e-01
0.52958240	1.53208903e-01
0.52975744	1.52580851e-01
0.52993248	1.51958032e-01
0.53010753	1.51340366e-01
0.53028257	1.50727779e-01
0.53045761	1.50121276e-01
0.53063266	1.49520552e-01
0.53080770	1.48924676e-01
0.53098275	1.48333581e-01
0.53115779	1.47747195e-01
0.53133283	1.47165455e-01
0.53150788	1.46588292e-01
0.53168292	1.46015644e-01
0.53185796	1.45447447e-01
0.53203301	1.44883640e-01
0.53220805	1.44324162e-01
0.53238310	1.43769188e-01
0.53255814	1.43220333e-01
0.53273318	1.42675620e-01
0.53290823	1.42134993e-01
0.53308327	1.41598399e-01
0.53325831	1.41065783e-01
0.53343336	1.40537092e-01
0.53360840	1.40012276e-01
0.53378345	1.39491282e-01
0.53395849	1.38974061e-01
0.53413353	1.38460564e-01
0.53430858	1.37950744e-01
0.53448362	1.37445676e-01
0.53465866	1.36944790e-01
0.53483371	1.36447433e-01
0.53500875	1.35953559e-01
0.53518380	1.35463125e-01
0.53535884	1.34976088e-01
0.53553388	1.34492406e-01
0.53570893	1.34012036e-01
0.53588397	1.33534939e-01
0.53605901	1.33061075e-01
0.53623406	1.32590403e-01
0.53640910	1.32123256e-01
0.53658415	1.31660702e-01
0.53675919	1.31201216e-01
0.53693423	1.30744764e-01
0.53710928	1.30291309e-01
0.53728432	1.29840816e-01
0.53745936	1.29393249e-01
0.53763441	1.28948574e-01
0.53780945	1.28506758e-01
