# z/w	Integrand for V0 = 0.0135 eV, theta = 0.2600 mrad
0.50000000	7.11720337e-01
0.50017504	7.40669366e-01
0.50035009	7.73620649e-01
0.50052513	8.11583605e-01
0.50070018	8.55951600e-01
0.50087522	9.08741128e-01
0.50105026	9.72985300e-01
0.50122531	1.05350428e+00
0.50140035	1.15853509e+00
0.50157539	1.30364537e+00
0.50175044	1.52302844e+00
0.50192548	1.91346373e+00
0.50210053	2.95576433e+00
0.50227557	4.72015939e+00
0.50245061	2.20911842e+00
0.50262566	1.65381860e+00
0.50280070	1.37750440e+00
0.50297574	1.20466238e+00
0.50315079	1.08347735e+00
0.50332583	9.92435413e-01
0.50350088	9.20786489e-01
0.50367592	8.62482110e-01
0.50385096	8.13823926e-01
0.50402601	7.72406436e-01
0.50420105	7.36588429e-01
0.50437609	7.05210974e-01
0.50455114	6.77423727e-01
0.50472618	6.52583086e-01
0.50490123	6.30199480e-01
0.50507627	6.09890228e-01
0.50525131	5.91351288e-01
0.50542636	5.74337620e-01
0.50560140	5.58649232e-01
0.50577644	5.44121061e-01
0.50595149	5.30615496e-01
0.50612653	5.18016776e-01
0.50630158	5.06226785e-01
0.50647662	4.95169139e-01
0.50665166	4.84763772e-01
0.50682671	4.74948226e-01
0.50700175	4.65668122e-01
0.50717679	4.56875863e-01
0.50735184	4.48529583e-01
0.50752688	4.40592289e-01
0.50770193	4.33031155e-01
0.50787697	4.25816934e-01
0.50805201	4.18923477e-01
0.50822706	4.12327317e-01
0.50840210	4.06010301e-01
0.50857714	3.99952707e-01
0.50875219	3.94134789e-01
0.50892723	3.88540864e-01
0.50910228	3.83156654e-01
0.50927732	3.77969128e-01
0.50945236	3.72966363e-01
0.50962741	3.68137425e-01
0.50980245	3.63472271e-01
0.50997749	3.58961652e-01
0.51015254	3.54597037e-01
0.51032758	3.50371079e-01
0.51050263	3.46280698e-01
0.51067767	3.42314261e-01
0.51085271	3.38465484e-01
0.51102776	3.34728527e-01
0.51120280	3.31097946e-01
0.51137784	3.27568662e-01
0.51155289	3.24135932e-01
0.51172793	3.20795319e-01
0.51190298	3.17542666e-01
0.51207802	3.14374076e-01
0.51225306	3.11285891e-01
0.51242811	3.08277273e-01
0.51260315	3.05343790e-01
0.51277819	3.02480923e-01
0.51295324	2.99685802e-01
0.51312828	2.96955717e-01
0.51330333	2.94288109e-01
0.51347837	2.91680559e-01
0.51365341	2.89130776e-01
0.51382846	2.86636590e-01
0.51400350	2.84195946e-01
0.51417854	2.81806893e-01
0.51435359	2.79468350e-01
0.51452863	2.77181006e-01
0.51470368	2.74939910e-01
0.51487872	2.72743472e-01
0.51505376	2.70590176e-01
0.51522881	2.68478579e-01
