# z/w	Integrand for V0 = 0.0133 eV, theta = 0.2586 mrad
0.53675919	1.98924034e-01
0.53693423	1.98227479e-01
0.53710928	1.97535491e-01
0.53728432	1.96848013e-01
0.53745936	1.96164995e-01
0.53763441	1.95486383e-01
0.53780945	1.94812127e-01
0.53798450	1.94142175e-01
0.53815954	1.93476478e-01
0.53833458	1.92814987e-01
0.53850963	1.92159859e-01
0.53868467	1.91509556e-01
0.53885971	1.90863304e-01
0.53903476	1.90221057e-01
0.53920980	1.89582771e-01
0.53938485	1.88948400e-01
0.53955989	1.88317903e-01
0.53973493	1.87691235e-01
0.53990998	1.87068354e-01
0.54008502	1.86449220e-01
0.54026007	1.85833791e-01
0.54043511	1.85222731e-01
0.54061015	1.84616993e-01
0.54078520	1.84014831e-01
0.54096024	1.83416206e-01
0.54113528	1.82821082e-01
0.54131033	1.82229420e-01
0.54148537	1.81641184e-01
0.54166042	1.81056338e-01
0.54183546	1.80474847e-01
0.54201050	1.79896675e-01
0.54218555	1.79321789e-01
0.54236059	1.78750153e-01
0.54253563	1.78184012e-01
0.54271068	1.77621468e-01
0.54288572	1.77062064e-01
0.54306077	1.76505770e-01
0.54323581	1.75952553e-01
0.54341085	1.75402383e-01
0.54358590	1.74855228e-01
0.54376094	1.74311059e-01
0.54393598	1.73769847e-01
0.54411103	1.73231561e-01
0.54428607	1.72696172e-01
0.54446112	1.72164494e-01
0.54463616	1.71637004e-01
0.54481120	1.71112319e-01
0.54498625	1.70590411e-01
0.54516129	1.70071253e-01
0.54533633	1.69554820e-01
0.54551138	1.69041085e-01
0.54568642	1.68530022e-01
0.54586147	1.68021607e-01
0.54603651	1.67515812e-01
0.54621155	1.67012615e-01
0.54638660	1.66511991e-01
0.54656164	1.66016248e-01
0.54673668	1.65523184e-01
0.54691173	1.65032611e-01
0.54708677	1.64544507e-01
0.54726182	1.64058849e-01
0.54743686	1.63575615e-01
0.54761190	1.63094782e-01
0.54778695	1.62616328e-01
0.54796199	1.62140232e-01
0.54813703	1.61666472e-01
0.54831208	1.61195027e-01
0.54848712	1.60726864e-01
0.54866217	1.60262061e-01
0.54883721	1.59799503e-01
0.54901225	1.59339172e-01
0.54918730	1.58881048e-01
0.54936234	1.58425110e-01
0.54953738	1.57971341e-01
0.54971243	1.57519720e-01
0.54988747	1.57070229e-01
0.55006252	1.56622851e-01
0.55023756	1.56177565e-01
0.55041260	1.55734416e-01
0.55058765	1.55295554e-01
0.55076269	1.54858724e-01
0.55093773	1.54423908e-01
0.55111278	1.53991090e-01
0.55128782	1.53560252e-01
0.55146287	1.53131378e-01
0.55163791	1.52704452e-01
0.55181295	1.52279456e-01
0.55198800	1.51856375e-01
0.55216304	1.51435194e-01
0.55233808	1.51015895e-01
0.55251313	1.50599569e-01
0.55268817	1.50185936e-01
0.55286322	1.49774133e-01
0.55303826	1.49364146e-01
0.55321330	1.48955959e-01
0.55338835	1.48549559e-01
0.55356339	1.48144930e-01
0.55373843	1.47742059e-01
0.55391348	1.47340931e-01
0.55408852	1.46941532e-01
0.55426357	1.46543848e-01
0.55443861	1.46148120e-01
0.55461365	1.45755977e-01
0.55478870	1.45365503e-01
0.55496374	1.44976683e-01
0.55513878	1.44589505e-01
0.55531383	1.44203956e-01
0.55548887	1.43820024e-01
0.55566392	1.43437694e-01
0.55583896	1.43056956e-01
0.55601400	1.42677797e-01
0.55618905	1.42300205e-01
0.55636409	1.41924168e-01
0.55653913	1.41550851e-01
0.55671418	1.41179673e-01
0.55688922	1.40810009e-01
0.55706427	1.40441848e-01
0.55723931	1.40075177e-01
0.55741435	1.39709986e-01
0.55758940	1.39346264e-01
0.55776444	1.38984000e-01
0.55793948	1.38623182e-01
0.55811453	1.38263801e-01
0.55828957	1.37905845e-01
0.55846462	1.37549703e-01
0.55863966	1.37196471e-01
0.55881470	1.36844627e-01
0.55898975	1.36494161e-01
0.55916479	1.36145064e-01
0.55933983	1.35797325e-01
0.55951488	1.35450934e-01
0.55968992	1.35105882e-01
0.55986497	1.34762159e-01
0.56004001	1.34419755e-01
0.56021505	1.34078661e-01
0.56039010	1.33738868e-01
0.56056514	1.33401846e-01
0.56074019	1.33066568e-01
0.56091523	1.32732557e-01
0.56109027	1.32399805e-01
0.56126532	1.32068302e-01
0.56144036	1.31738040e-01
0.56161540	1.31409010e-01
0.56179045	1.31081204e-01
0.56196549	1.30754613e-01
0.56214054	1.30429229e-01
0.56231558	1.30105043e-01
0.56249062	1.29782547e-01
0.56266567	1.29462393e-01
0.56284071	1.29143408e-01
0.56301575	1.28825584e-01
0.56319080	1.28508913e-01
0.56336584	1.28193387e-01
0.56354089	1.27878999e-01
0.56371593	1.27565741e-01
0.56389097	1.27253606e-01
0.56406602	1.26942585e-01
0.56424106	1.26632671e-01
0.56441610	1.26323857e-01
0.56459115	1.26017701e-01
0.56476619	1.25712897e-01
0.56494124	1.25409167e-01
0.56511628	1.25106502e-01
0.56529132	1.24804897e-01
0.56546637	1.24504343e-01
0.56564141	1.24204835e-01
0.56581645	1.23906365e-01
0.56599150	1.23608926e-01
0.56616654	1.23312513e-01
0.56634159	1.23017117e-01
0.56651663	1.22723333e-01
0.56669167	1.22431481e-01
