# z/w	Integrand for V0 = 0.0135 eV, theta = 0.2600 mrad
0.50000000	1.02579135e+00
0.50017504	1.06751491e+00
0.50035009	1.11500673e+00
0.50052513	1.16972159e+00
0.50070018	1.23366786e+00
0.50087522	1.30975188e+00
0.50105026	1.40234518e+00
0.50122531	1.51839496e+00
0.50140035	1.66977305e+00
0.50157539	1.87891667e+00
0.50175044	2.19510787e+00
0.50192548	2.75783252e+00
0.50210053	4.26007513e+00
0.50227557	6.80305400e+00
0.50245061	3.18394868e+00
0.50262566	2.38360749e+00
0.50280070	1.98536184e+00
0.50297574	1.73624829e+00
0.50315079	1.56158678e+00
0.50332583	1.43036984e+00
0.50350088	1.32710363e+00
0.50367592	1.24307061e+00
0.50385096	1.17294044e+00
0.50402601	1.11324613e+00
0.50420105	1.06162224e+00
0.50437609	1.01639826e+00
0.50455114	9.76348621e-01
0.50472618	9.40545884e-01
0.50490123	9.08284439e-01
0.50507627	8.79012736e-01
0.50525131	8.52292561e-01
0.50542636	8.27770742e-01
0.50560140	8.05159035e-01
0.50577644	7.84219536e-01
0.50595149	7.64753909e-01
0.50612653	7.46595306e-01
0.50630158	7.29602316e-01
0.50647662	7.13664772e-01
0.50665166	6.98667353e-01
0.50682671	6.84520041e-01
0.50700175	6.71144460e-01
0.50717679	6.58472008e-01
0.50735184	6.46442345e-01
0.50752688	6.35002153e-01
0.50770193	6.24104118e-01
0.50787697	6.13706089e-01
0.50805201	6.03770377e-01
0.50822706	5.94263158e-01
0.50840210	5.85158251e-01
0.50857714	5.76427233e-01
0.50875219	5.68041660e-01
0.50892723	5.59978930e-01
0.50910228	5.52218464e-01
0.50927732	5.44741479e-01
0.50945236	5.37530791e-01
0.50962741	5.30570642e-01
0.50980245	5.23846555e-01
0.50997749	5.17345200e-01
0.51015254	5.11054283e-01
0.51032758	5.04963204e-01
0.51050263	4.99067446e-01
0.51067767	4.93350330e-01
0.51085271	4.87802804e-01
0.51102776	4.82416445e-01
0.51120280	4.77183408e-01
0.51137784	4.72096374e-01
0.51155289	4.67148506e-01
0.51172793	4.62333408e-01
0.51190298	4.57645090e-01
0.51207802	4.53077935e-01
0.51225306	4.48626669e-01
0.51242811	4.44290114e-01
0.51260315	4.40061867e-01
0.51277819	4.35935401e-01
0.51295324	4.31906579e-01
0.51312828	4.27971495e-01
0.51330333	4.24126461e-01
0.51347837	4.20367988e-01
0.51365341	4.16692777e-01
0.51382846	4.13097700e-01
0.51400350	4.09579793e-01
0.51417854	4.06136246e-01
0.51435359	4.02765462e-01
0.51452863	3.99468307e-01
0.51470368	3.96237813e-01
0.51487872	3.93071688e-01
0.51505376	3.89967749e-01
0.51522881	3.86923914e-01
0.51540385	3.83938199e-01
0.51557889	3.81008711e-01
0.51575394	3.78133642e-01
0.51592898	3.75311267e-01
0.51610403	3.72539934e-01
0.51627907	3.69818064e-01
0.51645411	3.67148309e-01
0.51662916	3.64526439e-01
0.51680420	3.61949622e-01
0.51697924	3.59416532e-01
0.51715429	3.56925896e-01
0.51732933	3.54476495e-01
0.51750438	3.52067156e-01
0.51767942	3.49696753e-01
0.51785446	3.47364206e-01
0.51802951	3.45068474e-01
0.51820455	3.42808558e-01
0.51837959	3.40584743e-01
0.51855464	3.38397982e-01
0.51872968	3.36244210e-01
0.51890473	3.34122569e-01
0.51907977	3.32032234e-01
0.51925481	3.29972406e-01
0.51942986	3.27942317e-01
0.51960490	3.25941225e-01
0.51977994	3.23968415e-01
0.51995499	3.22023194e-01
0.52013003	3.20104895e-01
0.52030508	3.18212874e-01
0.52048012	3.16350492e-01
0.52065516	3.14513907e-01
0.52083021	3.12701746e-01
0.52100525	3.10913444e-01
0.52118030	3.09148457e-01
0.52135534	3.07406258e-01
0.52153038	3.05686334e-01
0.52170543	3.03988192e-01
0.52188047	3.02311352e-01
0.52205551	3.00655348e-01
0.52223056	2.99019731e-01
0.52240560	2.97405499e-01
0.52258065	2.95813168e-01
0.52275569	2.94239919e-01
0.52293073	2.92685352e-01
0.52310578	2.91149082e-01
0.52328082	2.89630731e-01
0.52345586	2.88129937e-01
0.52363091	2.86646344e-01
0.52380595	2.85179607e-01
0.52398100	2.83729392e-01
0.52415604	2.82295373e-01
0.52433108	2.80877234e-01
0.52450613	2.79478528e-01
0.52468117	2.78095371e-01
0.52485621	2.76727163e-01
0.52503126	2.75373622e-01
0.52520630	2.74034470e-01
0.52538135	2.72709441e-01
0.52555639	2.71398272e-01
0.52573143	2.70100710e-01
0.52590648	2.68816506e-01
0.52608152	2.67545419e-01
0.52625656	2.66287213e-01
0.52643161	2.65043246e-01
0.52660665	2.63813506e-01
0.52678170	2.62595951e-01
0.52695674	2.61390369e-01
0.52713178	2.60196553e-01
0.52730683	2.59014300e-01
0.52748187	2.57843413e-01
0.52765691	2.56683699e-01
0.52783196	2.55534971e-01
0.52800700	2.54397044e-01
0.52818205	2.53269739e-01
0.52835709	2.52152948e-01
0.52853213	2.51050096e-01
0.52870718	2.49957328e-01
0.52888222	2.48874481e-01
0.52905726	2.47801397e-01
0.52923231	2.46737918e-01
0.52940735	2.45683894e-01
0.52958240	2.44639175e-01
0.52975744	2.43603616e-01
0.52993248	2.42577074e-01
0.53010753	2.41559410e-01
0.53028257	2.40550489e-01
0.53045761	2.39551884e-01
0.53063266	2.38563097e-01
0.53080770	2.37582643e-01
0.53098275	2.36610396e-01
0.53115779	2.35646234e-01
0.53133283	2.34690039e-01
0.53150788	2.33741692e-01
0.53168292	2.32801080e-01
0.53185796	2.31868090e-01
0.53203301	2.30942612e-01
0.53220805	2.30024539e-01
0.53238310	2.29114137e-01
0.53255814	2.28213962e-01
0.53273318	2.27320861e-01
0.53290823	2.26434737e-01
0.53308327	2.25555490e-01
0.53325831	2.24683027e-01
0.53343336	2.23817254e-01
0.53360840	2.22958079e-01
0.53378345	2.22105412e-01
0.53395849	2.21259165e-01
0.53413353	2.20419253e-01
0.53430858	2.19585589e-01
0.53448362	2.18759877e-01
0.53465866	2.17941203e-01
0.53483371	2.17128518e-01
0.53500875	2.16321744e-01
0.53518380	2.15520804e-01
0.53535884	2.14725623e-01
0.53553388	2.13936126e-01
0.53570893	2.13152241e-01
0.53588397	2.12373895e-01
0.53605901	2.11601020e-01
0.53623406	2.10833546e-01
0.53640910	2.10071985e-01
0.53658415	2.09317997e-01
0.53675919	2.08569195e-01
0.53693423	2.07825516e-01
0.53710928	2.07086896e-01
0.53728432	2.06353274e-01
0.53745936	2.05624589e-01
0.53763441	2.04900781e-01
0.53780945	2.04181790e-01
0.53798450	2.03467561e-01
0.53815954	2.02758035e-01
0.53833458	2.02053157e-01
0.53850963	2.01355079e-01
0.53868467	2.00662255e-01
0.53885971	1.99973904e-01
0.53903476	1.99289972e-01
0.53920980	1.98610410e-01
0.53938485	1.97935165e-01
0.53955989	1.97264190e-01
0.53973493	1.96597435e-01
0.53990998	1.95934852e-01
0.54008502	1.95276395e-01
0.54026007	1.94622016e-01
0.54043511	1.93972386e-01
0.54061015	1.93328473e-01
0.54078520	1.92688493e-01
0.54096024	1.92052403e-01
0.54113528	1.91420158e-01
0.54131033	1.90791718e-01
0.54148537	1.90167041e-01
0.54166042	1.89546086e-01
0.54183546	1.88928813e-01
0.54201050	1.88315182e-01
0.54218555	1.87705155e-01
0.54236059	1.87098692e-01
0.54253563	1.86498078e-01
0.54271068	1.85901374e-01
0.54288572	1.85308111e-01
0.54306077	1.84718253e-01
0.54323581	1.84131765e-01
0.54341085	1.83548613e-01
0.54358590	1.82968760e-01
0.54376094	1.82392175e-01
0.54393598	1.81818822e-01
0.54411103	1.81248669e-01
0.54428607	1.80681684e-01
0.54446112	1.80118690e-01
0.54463616	1.79560171e-01
0.54481120	1.79004715e-01
0.54498625	1.78452292e-01
0.54516129	1.77902872e-01
