# EELS for $h = 0.2$ $\mu$m, $\epsilon_2 = \epsilon_{Si}(\omega)$, $\beta$ = 0.55. Re(EELS) from paper 149 Eq. 25 divided by L/c and in Gaussian units (dimensionless) 
0.0000058814	0.0000332937	0.0000374386	0.0000401781	0.0000441907	0.0000517322	0.0000756624	0.0020452681	0.0031817658	0.0035656123	0.0036463873	0.0035747422	0.0034245201	0.0032364460	0.0030340815	0.0028314109	0.0026370847	0.0024573509	0.0022994050	0.0021802784	0.0021803348	0.0038915556	0.0240161885	0.0135021043	0.0094437171	0.0071597083	0.0056885580	0.0046686127	0.0039269158	0.0033713916	0.0029660149	0.0035753300	0.0038661126	0.0038893132	0.0038148699	0.0036953566	0.0035547834	0.0034038781	0.0032474984	0.0031004963	0.0029731121	0.0028951920	0.0029892346	0.0046805362	0.0201653114	0.0110649462	0.0079776047	0.0062731761	0.0051848577	0.0045026827
0.0000058764	0.0000329813	0.0000366478	0.0000387231	0.0000418592	0.0000483009	0.0000706930	0.0020009104	0.0030994205	0.0034552541	0.0035138086	0.0034246314	0.0032608595	0.0030626043	0.0028528634	0.0026451020	0.0024474863	0.0022657798	0.0021065795	0.0019857559	0.0019790381	0.0035916138	0.0225001341	0.0125031307	0.0086500400	0.0064900446	0.0051052606	0.0041498406	0.0034583972	0.0029429141	0.0025683959	0.0031290952	0.0033868438	0.0033953883	0.0033139124	0.0031918269	0.0030516400	0.0029016710	0.0027446166	0.0025977662	0.0024712143	0.0023905785	0.0024641916	0.0039634476	0.0177023449	0.0095042206	0.0067220820	0.0051905465	0.0042154279	0.0036054526
0.0000058713	0.0000326730	0.0000358868	0.0000373775	0.0000398133	0.0000454629	0.0000667799	0.0019589541	0.0030212779	0.0033510874	0.0033895703	0.0032850964	0.0031100274	0.0029038055	0.0026888249	0.0024780056	0.0022790171	0.0020971368	0.0019383784	0.0018175034	0.0018058560	0.0033265541	0.0210934224	0.0115911467	0.0079357488	0.0058954158	0.0045939708	0.0037007661	0.0030577281	0.0025807834	0.0022360161	0.0027531035	0.0029823373	0.0029796285	0.0028940583	0.0027720274	0.0026346009	0.0024888852	0.0023367927	0.0021955441	0.0020742701	0.0019954697	0.0020553882	0.0033883250	0.0155821049	0.0082032793	0.0057024049	0.0043331114	0.0034670987	0.0029287928
0.0000058663	0.0000323688	0.0000351540	0.0000361296	0.0000380028	0.0000430690	0.0000635771	0.0019187132	0.0029461549	0.0032512835	0.0032710724	0.0031526739	0.0029676408	0.0027547231	0.0025356960	0.0023229268	0.0021235856	0.0019424689	0.0017850222	0.0016649492	0.0016494435	0.0030840187	0.0197786103	0.0107489624	0.0072832180	0.0053576653	0.0041359965	0.0033021798	0.0027052049	0.0022648243	0.0019482404	0.0024258072	0.0026301218	0.0026186965	0.0025311212	0.0024109324	0.0022778115	0.0021379107	0.0019926272	0.0018586703	0.0017441924	0.0016689797	0.0017185715	0.0029049777	0.0137287697	0.0070908934	0.0048461224	0.0036248426	0.0028584203	0.0023857083
0.0000058612	0.0000320687	0.0000344480	0.0000349691	0.0000363875	0.0000410130	0.0000608676	0.0018798089	0.0028734786	0.0031550672	0.0031573444	0.0030262135	0.0028323860	0.0026138926	0.0023918700	0.0021781206	0.0019793099	0.0017997559	0.0016443515	0.0015257900	0.0015073371	0.0028611252	0.0185485399	0.0099701684	0.0066861090	0.0048704106	0.0037248835	0.0029475507	0.0023942218	0.0019883582	0.0016983096	0.0021399346	0.0023223942	0.0023043033	0.0022163344	0.0020993010	0.0019715601	0.0018384741	0.0017010798	0.0015753430	0.0014684816	0.0013978916	0.0014396031	0.0024965319	0.0121052145	0.0061366688	0.0041242891	0.0030371945	0.0023607912	0.0019472736
0.0000058562	0.0000317726	0.0000337673	0.0000338871	0.0000349354	0.0000392181	0.0000585123	0.0018420209	0.0028029417	0.0030620474	0.0030479135	0.0029051587	0.0027036176	0.0024805730	0.0022565031	0.0020426339	0.0018451228	0.0016678135	0.0015150617	0.0013985972	0.0013779696	0.0026559241	0.0173972575	0.0092495624	0.0061393303	0.0044285625	0.0033555191	0.0026317373	0.0021196092	0.0017461890	0.0014809945	0.0018898243	0.0020530503	0.0020299493	0.0019428158	0.0018298769	0.0017082250	0.0015825529	0.0014536386	0.0013365706	0.0012376931	0.0011722881	0.0012079326	0.0021502153	0.0106809091	0.0053164545	0.0035143886	0.0025483916	0.0019528222	0.0015922338
0.0000058511	0.0000314804	0.0000331107	0.0000328754	0.0000336205	0.0000376281	0.0000564199	0.0018052134	0.0027343596	0.0029719886	0.0029424863	0.0027891492	0.0025808981	0.0023542405	0.0021289780	0.0019157504	0.0017202055	0.0015457181	0.0013961234	0.0012822334	0.0012600830	0.0024668075	0.0163194041	0.0085825346	0.0056384155	0.0040276954	0.0030234924	0.0023503381	0.0018769748	0.0015339339	0.0012919139	0.0016707303	0.0018169734	0.0017901959	0.0017048212	0.0015966219	0.0014814860	0.0013635295	0.0012433413	0.0011350581	0.0010442184	0.0009842324	0.0010151596	0.0018557582	0.0094299327	0.0046102692	0.0029981144	0.0021410058	0.0016176540	0.0013040632
0.0000058461	0.0000311920	0.0000324770	0.0000319273	0.0000324218	0.0000362019	0.0000545288	0.0017692970	0.0026676087	0.0028847260	0.0028408468	0.0026779069	0.0024638779	0.0022344655	0.0020087788	0.0017968643	0.0016038598	0.0014326786	0.0012866524	0.0011757204	0.0011525942	0.0022923719	0.0153100607	0.0079649099	0.0051793588	0.0036638748	0.0027249153	0.0020995041	0.0016625074	0.0013478187	0.0011273226	0.0014785968	0.0016097977	0.0015804151	0.0014974788	0.0013944345	0.0012860256	0.0011758656	0.0010644022	0.0009647874	0.0008818228	0.0008272616	0.0008544772	0.0016047604	0.0083300664	0.0040013832	0.0025603900	0.0018008950	0.0013417966	0.0010697048
0.0000058411	0.0000309075	0.0000318650	0.0000310365	0.0000313223	0.0000349083	0.0000527965	0.0017342093	0.0026025976	0.0028001308	0.0027428184	0.0025711967	0.0023522542	0.0021208709	0.0018954494	0.0016854374	0.0014954645	0.0013279909	0.0011858631	0.0010781908	0.0010545450	0.0021313649	0.0143646801	0.0073928758	0.0047585382	0.0033335751	0.0024563329	0.0018758434	0.0014728750	0.0011845687	0.0009839945	0.0013099334	0.0014277717	0.0013966421	0.0013166301	0.0012189779	0.0011173435	0.0010148983	0.0009119827	0.0008207596	0.0007453619	0.0006960761	0.0007203291	0.0013902976	0.0073621721	0.0034757073	0.0021887228	0.0015165087	0.0011143819	0.0008787670
0.0000058360	0.0000306266	0.0000312736	0.0000301976	0.0000303079	0.0000337241	0.0000511929	0.0016999040	0.0025392536	0.0027180948	0.0026482469	0.0024688090	0.0022457543	0.0020131150	0.0017885751	0.0015809804	0.0013944557	0.0012310180	0.0010930469	0.0009888655	0.0009650772	0.0019826582	0.0134790452	0.0068629384	0.0043726666	0.0030336252	0.0022146643	0.0016763559	0.0013051537	0.0010413327	0.0008591413	0.0011617252	0.0012676602	0.0012354684	0.0011587135	0.0010665531	0.0009716185	0.0008766896	0.0007820225	0.0006988074	0.0006305745	0.0005863130	0.0006081616	0.0012066351	0.0065097107	0.0030213305	0.0018727203	0.0012783758	0.0009266175	0.0007229433
